Pair,Predictor
1,NEE
1,GPP
2,NEE
2,RECO
3,NEE
3,SW_IN
4,NEE
4,LW_IN
5,NEE
5,LE
6,NEE
6,TA
7,NEE
7,PA
8,NEE
8,VPD
9,NEE
9,P
10,NEE
10,NDSI_msc
11,NEE
11,NDVI_msc
12,NEE
12,EVI_msc
13,NEE
13,NDWI_msc
14,NEE
14,SRWI_msc
15,NEE
15,LSWI_msc
16,NEE
16,LSTN_msc
17,NEE
17,NDSI
18,NEE
18,NDVI
19,NEE
19,EVI
20,NEE
20,NDWI
21,NEE
21,SRWI
22,NEE
22,LSWI
23,NEE
23,LSTN
24,NEE
24,NDSI_mean
25,NEE
25,NDVI_mean
26,NEE
26,EVI_mean
27,NEE
27,NDWI_mean
28,NEE
28,SRWI_mean
29,NEE
29,LSWI_mean
30,NEE
30,LSTN_mean
31,NEE
31,NDSI_min
32,NEE
32,NDVI_min
33,NEE
33,EVI_min
34,NEE
34,NDWI_min
35,NEE
35,SRWI_min
36,NEE
36,LSWI_min
37,NEE
37,LSTN_min
38,NEE
38,NDSI_max
39,NEE
39,NDVI_max
40,NEE
40,EVI_max
41,NEE
41,NDWI_max
42,NEE
42,SRWI_max
43,NEE
43,LSWI_max
44,NEE
44,LSTN_max
45,NEE
45,NDSI_amp
46,NEE
46,NDVI_amp
47,NEE
47,EVI_amp
48,NEE
48,NDWI_amp
49,NEE
49,SRWI_amp
50,NEE
50,LSWI_amp
51,NEE
51,LSTN_amp
52,NEE
52,WF
53,NEE
53,WFS
54,NEE
54,WFR
55,NEE
55,aet
56,NEE
56,aetS
57,NEE
57,aetR
58,NEE
58,soilwater
59,NEE
59,soilwaterS
60,NEE
60,soilwaterR
61,NEE
61,nx_depo
62,NEE
62,ny_dep
63,NEE
63,s_dep
64,NEE
64,nt_depo
65,NEE
65,bare
66,NEE
66,shrub
67,NEE
67,tree
68,NEE
68,rpot
69,NEE
69,canopyht
70,NEE
70,cti
71,NEE
71,wc_mat
72,NEE
72,wc_dtr
73,NEE
73,wc_iso
74,NEE
74,wc_ts
75,NEE
75,wc_mtqm
76,NEE
76,wc_mtcm
77,NEE
77,wc_tr
78,NEE
78,wc_mtwtq
79,NEE
79,wc_mtdq
80,NEE
80,wc_mtwq
81,NEE
81,wc_mtcq
82,NEE
82,wc_map
83,NEE
83,wc_pwtm
84,NEE
84,wc_pdm
85,NEE
85,wc_ps
86,NEE
86,wc_pwtq
87,NEE
87,wc_pdq
88,NEE
88,wc_pwq
89,NEE
89,wc_pcq
90,NEE
90,awc
91,NEE
91,bd
92,NEE
92,clay
93,NEE
93,hist
