Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
2/18/2000,0.762025316,0.27039239,NA,NA,0.102235334,0.587710605,0.548106061,NA,0.519529516,0.249480249,0.201935081,0.178871154,0.17611336,0.306111743,NA,0.355771353,0.539861896,NA,0.379020138,0.285849953,0.127263254,0.152647975,NA,0.012396694,NA,-0.114923446,0.032804233,0.154955508,-0.052333002,0.516107967,0.077060932,0.048425934,0.199277544,NA,0.565672844,NA,NA,0.561011359,NA,0.436260937,NA,0.524099723,-0.013190731,0.379105743,0.481699667,0.521336645,0.569709749,0.506434009,0.141771856,0.030432254,0.083318838,0.481699667,0.538182916,0.713535186,0.538182916,-0.006038086,0.059839357,0.089771767,0.687686969,0.559322034,0.005134056,0.010580767,0.756720916,NA,0.020752726,0.035905271,0.042817184,0.107092532,0.071462945,0.03577149,0.563210227,0.744552319,0.134608392,0.115302552,0.064171667,0.051586815,0.051586815,0.09628988,-0.184149184,0.046197584,0.068113666,0.046568276,0.046568276,0.038221189,0.504895961,NA
2/26/2000,0.367158672,0.229626809,0.134797688,0.25755814,0.108658327,0.5337502,0.537864078,0.232425006,0.826797386,0.097053726,-0.25424282,0.050941307,NA,0.032210835,0.169011127,0.523482245,0.118455843,0.679685135,0.594409504,0.039225422,NA,0.351139335,0.217459385,-0.101342282,0.887113227,-0.133952255,-0.043801039,0.193945794,NA,0.444854881,0.024174528,0.042059748,0.232603774,0.435290404,0.498950902,0.425425039,NA,0.581380348,0.782479414,0.781260885,0.518132975,0.626003676,-0.005459509,0.485061511,0.755287648,0.459890253,0.516537517,0.516537517,-0.143736534,-0.033921303,0.356083916,0.755287648,0.595864662,0.613861386,0.595864662,-0.173076923,NA,NA,0.732590529,0.171155765,0.049382716,-0.077771329,0.585648887,0.777253978,-0.021505376,0.110111295,NA,-0.156476003,0.172481896,0.028553884,NA,0.783753995,-0.036578503,-0.126777984,NA,0.099914603,0.099914603,-0.11155181,-0.035999222,-0.12403453,0.435615399,-0.130316742,-0.130316742,0.046259582,0.746835443,-0.11360799
3/5/2000,0.3495374,0.175206816,0.084693303,0.219771564,0.115313081,0.498058504,0.498058504,0.278745645,0.734317343,0.06629055,-0.268933019,0.053497942,NA,0.001701259,0.238478336,0.64793578,0.780040733,0.842022117,0.762614522,-0.050440744,0.408088235,0.341106719,0.277370892,-0.074442864,0.576949553,-0.132352941,-0.00973236,-0.168871944,-0.033928864,0.347133758,0.119985072,0.074751215,0.23210514,0.240382299,0.240382299,0.639036597,0.432405567,0.519779932,0.691550128,0.638876636,0.363020883,0.67090784,-0.008269344,0.817265557,0.747560458,0.429828974,NA,0.669383003,0.419903601,-0.031764256,0.084384093,0.747560458,0.853051779,0.85050736,0.853051779,NA,NA,0.148466258,0.763164165,NA,-0.183382986,-0.154780771,0.876546359,0.708427312,NA,0.12729026,-0.123474866,-0.046521202,0.227061685,0.002824859,NA,0.896766744,-0.052895577,-0.154192459,0.06215847,0.129948557,0.129948557,-0.17995863,NA,-0.152503794,0.446717255,-0.088348978,-0.088348978,NA,0.654440154,0.032967033
3/13/2000,0.701676727,0.192465753,0.180627625,0.232335095,0.117774566,0.707493703,0.704667177,0.241866518,0.686175792,NA,0.570262327,-0.031635802,0.146869514,0.076271186,0.208462974,0.585548739,0.776774427,0.839897123,0.703428202,-0.035123367,0.2365243,0.142654221,0.260177819,-0.105014617,0.424977935,-0.140233309,-0.008886566,-0.159028511,-0.023497818,0.245955355,0.043694141,0.083202512,0.224985868,0.722544572,NA,0.600833044,NA,0.392820159,0.848303393,0.804335425,0.616652212,0.609773043,-0.047003019,0.331741252,NA,0.299607151,0.65652082,0.658092516,-0.039664624,0.000311236,0.23677639,NA,0.794147074,0.7623096,0.794147074,-0.112449799,NA,0.088729017,0.834440228,NA,-0.146683949,-0.152098575,NA,0.810408922,0.175983437,NA,0.597479748,-0.054680259,0.176088721,0.027715356,0.24084649,0.853510159,-0.010933291,0.356917688,0.515064562,0.134991119,0.134991119,-0.204039358,-0.03613963,-0.096672944,0.412797075,-0.145930233,-0.139557267,-0.146466371,0.557322176,0.027647366
3/21/2000,0.723494188,0.324243927,0.100884153,0.21471541,0.113977205,0.82246237,0.689163237,0.299255383,NA,0.047656558,-0.230071779,0.059363726,0.128165173,0.035334477,0.224585436,0.542363434,0.77039079,0.634183562,0.882726311,NA,0.428175839,0.265349033,0.249565217,NA,0.583429229,-0.118381403,-0.052112676,-0.158156912,0.016091954,0.290423371,0.000944287,0.01953125,NA,0.576630132,NA,NA,0.480404551,0.769623329,0.744483159,0.878796095,0.605640107,0.635038186,NA,0.405132047,0.666928163,0.541652144,0.446680222,0.316549601,-0.163307494,-0.227716728,-0.019637087,0.666928163,0.763105696,NA,0.763105696,-0.128089888,0.043206663,0.058657642,0.61132457,0.566457501,0.358823529,0.175274502,0.583000114,0.576888889,0.095264317,NA,-0.0058873,-0.112256165,0.075481256,0.087252125,0.7065147,0.806408094,0.014230272,-0.084494515,-0.055243722,0.030372933,0.030372933,-0.114369501,-0.100764732,-0.178589548,0.478522745,-0.039048474,0.090470446,0.047888653,0.500774508,0.007366483
3/29/2000,-0.02199736,0.288684453,0.157826927,0.179634966,NA,0.695951621,0.713379362,0.344707393,0.364876385,0.220132181,-0.227131783,NA,0.103296703,NA,0.198825041,0.59295499,0.635779012,0.917853686,0.893016345,-0.05744192,0.307445672,0.412065113,0.31712875,0.160618492,NA,-0.121395037,0.019830028,NA,0.070982839,0.396363636,0.254313887,0.072122461,NA,0.672786618,0.607516466,0.481332475,0.487339577,0.750781062,0.731059833,0.923467768,0.551966106,0.713656388,-0.055379029,0.635070402,0.480961329,0.455831859,0.387232519,0.374758983,-0.118721461,-0.230729834,-0.096684442,0.480961329,0.85786802,0.820871523,0.85786802,-0.09866247,0.061766207,0.072992701,0.781032986,0.250231868,0.034036568,0.008569898,0.818276545,0.683090024,0.204227083,0.289493294,NA,-0.057736721,0.32166635,0.09061593,0.387232519,0.644324853,0.082827301,-0.050888142,-0.030512072,0.120441989,0.120441989,-0.04185661,-0.105667627,-0.110482819,0.48893624,0.090656064,0.170793651,0.06278855,0.520182292,0.183707398
4/6/2000,-0.049053689,NA,0.067115423,0.158341658,0.086749851,0.635135135,0.680705544,0.369191489,0.812792512,0.209562564,NA,-0.066859067,0.084493364,-0.024310118,0.209425071,0.491579791,0.669870455,NA,0.760057471,-0.046592895,0.325316065,0.327368849,0.293580446,0.1564084,NA,-0.081414207,NA,-0.155723906,0.03846734,0.412757202,0.153380102,0.352451839,0.241291264,0.837505588,0.833743017,0.781661838,0.398880895,0.361379115,0.880130663,NA,0.700972176,0.757297748,-0.027777778,0.848998118,0.847288988,0.735161774,0.854448041,0.85912654,-0.193574959,0.031835206,0.217019544,0.847288988,0.881173301,0.817197243,0.881173301,0.332582099,0.05431971,0.137852247,0.839369029,0.291243348,-0.01285461,-0.076332213,0.838026632,NA,NA,0.244678695,-0.185467684,NA,0.184771776,0.177852349,0.854712335,NA,0.093643862,0.093282394,-0.03480715,NA,NA,0.030817494,0.021134594,0.091568837,0.335462185,0.044336744,0.100558659,-0.080909876,0.707074298,NA
4/14/2000,0.188398849,0.233201581,0.119915478,0.292882912,0.076388889,NA,0.766159355,0.336357451,0.74351826,0.270425321,-0.193103448,0.007346189,0.171341669,0.025965379,NA,0.504,0.55904908,0.823114487,0.36803203,0.08821715,0.078526755,0.362515937,0.20660066,0.35114079,0.710626911,-0.075939249,-0.064033513,-0.053500459,0.059485995,0.234899329,0.125650894,0.018027572,0.24600417,0.849159925,0.847299814,0.856634016,0.281222707,0.79826087,0.639163498,0.863840719,0.616202827,0.725057583,NA,0.693111264,0.812431843,0.82114711,0.806174957,NA,-0.076142132,-0.170071376,0.103145952,0.812431843,0.843584391,0.736475629,0.843584391,-0.06557377,0.053931124,0.018495684,0.664647688,0.270604881,NA,-0.07780725,0.645036765,0.317709096,0.212870013,0.299964501,-0.013789824,-0.08373294,0.350587372,0.256488193,0.80916442,0.930498881,0.111348579,-0.06044815,NA,0.135664336,0.135664336,0.033346889,-0.053001622,0.135704875,0.297835498,0.236199775,0.219334245,0.076558266,0.653846154,0.13546798
4/22/2000,0.215034333,0.242538249,NA,0.142351454,0.052419355,0.481393975,NA,0.39944186,0.707042254,0.277064883,-0.114467061,0.053717538,NA,0.010666667,NA,0.125659979,0.702607677,0.231625835,0.149692855,0.061884314,0.054356045,0.298168175,0.290078645,0.384283513,0.050607044,NA,0.153611394,0.233268859,-0.004291845,0.141572225,0.275702896,0.137570744,0.15218236,0.883974094,0.749478079,0.883028029,0.230312036,0.791099196,0.619127517,0.713263979,0.772842283,0.807618315,0.032960199,0.410298356,0.80626475,0.435459782,0.804679987,0.805963791,-0.148635936,-0.194107107,0.042958879,0.80626475,0.31887456,0.235767842,0.31887456,-0.088491899,0.160904601,-0.03750271,0.804620462,0.213439824,-0.127342624,-0.148246078,0.820892298,0.137371395,0.159366755,0.303246239,-0.194415503,-0.06567868,0.35171413,0.310606061,0.80122518,0.684221291,0.130727763,0.062889518,-0.049952875,0.147038567,0.147038567,0.070669935,0.045027408,0.074231891,0.213647441,0.245895724,0.200951249,0.254248696,NA,0.21221374
4/30/2000,NA,0.217329037,0.123085649,0.143413007,0.202526316,0.124288107,0.135978298,0.198869552,0.346141732,0.292368381,-0.133471933,0.246618934,0.228131213,0.015616286,0.416863672,0.137886598,0.780888618,0.217739246,0.137295794,0.117824773,0.365910413,0.358707558,0.201042685,0.255433249,NA,0.287022079,0.034755829,0.243998567,-0.069773818,0.171916821,0.240916955,0.045861601,NA,0.83627907,NA,0.76859335,0.228070175,NA,0.75,0.153158706,0.748511636,0.870550162,0.009759271,0.748608903,NA,0.557650327,0.297408136,0.320883702,-0.084680338,-0.202565473,0.191318707,NA,NA,-0.13126189,NA,-0.043981481,0.077983628,-0.04626683,0.752732675,0.25496511,0.160407569,0.038841343,NA,0.706221311,0.178644764,0.380782918,-0.177149682,-0.046666667,0.363746959,0.364947552,0.297408136,0.88150596,0.098263254,NA,-0.082690187,0.210444941,0.210444941,0.116096711,-0.017567568,0.07660832,0.278695652,-0.188643189,-0.031840259,0.092307692,0.197098976,NA
