Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
2/24/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,63,63,NA,NA,NA,64,NA,NA,NA,72,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
2/25/2000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,NA,NA,0,NA,0,NA,NA,NA,NA,54,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2/26/2000,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,62,NA,61,63,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,60,0,NA,62,59,63,63,NA,NA,NA,62,65,62,65,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,63,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
2/27/2000,75,0,NA,NA,NA,NA,NA,NA,82,0,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,85,NA,64,63,64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
2/28/2000,74,NA,NA,NA,NA,NA,NA,0,78,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,20,59,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/29/2000,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,39,0,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,71,70,0,NA,NA,NA,NA,0,0,69,NA,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,67,NA
3/1/2000,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,13,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,67,70,NA,NA,NA,NA,NA,67,63,52,63,NA,NA,NA,64,NA,0,0,69,65,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA
3/2/2000,NA,NA,NA,NA,NA,66,61,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,72,NA,67,NA,NA,NA,NA,NA,NA,74,73,74,NA,NA,NA,72,NA,NA,NA,72,71,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,70,NA
3/3/2000,63,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,0,0,0,79,0,28,0,0,NA,0,0,NA,NA,NA,NA,35,NA,NA,NA,71,57,NA,74,71,74,72,72,0,0,0,71,71,66,71,NA,0,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,0,0,0,72,75,NA,0,NA,0,0,0,0,0,0,0,0,0,57,16
3/4/2000,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,88,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,0,70,NA,NA,NA,NA,0,0,0,NA,67,63,67,0,NA,NA,71,NA,NA,NA,80,NA,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA
