Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
2/18/2000,-0.063076923,0.800471857,NA,NA,0.061639344,0.043195138,0.035863642,0.011043898,-0.015811413,-0.01038632,0.070763242,-0.009128631,0.093132643,0.00234852,-0.001954046,0.010860622,0.01594533,0.003183391,0.005185131,-0.00580072,-0.001845444,0.128461632,0.568960935,0.005173029,-0.008432719,0.21591485,0.112884835,0.118241236,0.318729031,0.003168659,0.227365555,0.05529623,0.631449631,-0.016143614,-0.018872688,-0.038789429,NA,-0.031010691,NA,0.00355982,-0.035593073,-0.030740773,0.146644573,-0.055990717,-0.013473761,-0.059595255,-0.011250879,-0.024985828,0.001075985,0.210106988,0.238663484,-0.013473761,0.056275262,0.021090789,0.056275262,0.117785323,0.122501063,0.038337629,-0.031983528,0.303004292,0.030288855,0.026878509,-0.039103198,-0.041488901,0.101885837,0.411764706,0.017067711,0.008342246,0.071462945,0.575954509,-0.028813485,-0.024431441,0.002505944,0.003147309,0.029414658,0.065028543,0.065028543,0.079153048,0.276102088,0.087470449,0.158432709,0.089986569,0.089986569,0.116598937,0.157448811,-0.00863736
2/26/2000,0.214156972,0.773688547,0.582205029,0.691164973,0.119366023,0.064426394,0.057998442,0.695652174,0.011372448,0.450587224,0.277964206,0.332865169,0.254164428,0.5640599,0.587681779,0.105722599,-0.00859375,0.031226766,0.064476999,0.566030677,0.435812214,0.760097324,0.645938079,0.223948812,-0.057324841,0.198531661,0.119026933,0.145558933,0.484764543,0.826551034,0.426108374,0.52268811,0.661444557,-0.018509525,-0.020631983,-0.034672249,0.230324074,-0.00949431,-0.023861715,-0.013693346,0.004889976,-0.017363344,0.106275304,-0.056722249,-0.03907833,-0.069686121,-0.053494544,-0.053494544,0.378592666,0.468041237,0.814371257,-0.03907833,0.071969697,0.09563092,0.071969697,0.217995001,0.554331497,0.086956522,-0.034785982,0.120993043,0.331592689,0.314853124,-0.035799832,-0.036914038,0.474982382,0.562666667,0.311860553,0.242013553,0.663708547,0.609029779,-0.046717315,-0.042876575,0.280478684,0.335224586,0.4375,0.616060226,0.616060226,0.488372093,0.425201381,0.366406804,0.875154818,0.360226469,0.360226469,0.593397746,0.091590341,0.148867314
3/5/2000,0.097144314,0.42720048,0.579918033,0.669991912,0.594151529,0.044584838,0.044584838,0.717461246,0.152768045,0.459459459,0.262423714,0.219047619,0.316228352,0.533333333,0.032282786,0.322291235,0.034790528,-0.012508143,0.024153822,0.522575579,0.327096327,0.667731629,0.707329317,0.326537547,0.000623986,0.206818182,0.051679587,0.174643423,0.569640479,0.746730902,0.329346622,0.653257387,0.739562624,-0.018805591,-0.018805591,-0.050208447,0.313582498,-0.033810793,-0.020026245,0.078575576,0.008608524,-0.055863208,0.100983607,-0.044415001,-0.042593992,-0.053525348,-0.038627096,-0.033218926,0.123625757,0.493506494,0.6400978,-0.042593992,-0.02108802,-0.011753931,-0.02108802,0.326826695,0.588757396,0.178099434,-0.046145914,0.471371505,0.256749873,0.317595388,-0.052116215,-0.032006971,0.632290185,0.661101243,0.346326837,0.175038052,0.710323575,0.582701739,-0.037795632,-0.055977011,0.324617347,0.323645971,0.367032967,0.61974992,0.61974992,0.442198868,0.357664234,0.348219674,0.86913896,0.455266637,0.455266637,0.60703125,0.178006873,-0.021432945
3/13/2000,-0.0105296,0.290107447,0.502043383,0.249206349,0.551654965,0.015923567,0.008296877,0.715019255,0.050581623,0.579931585,0.00111034,0.497613365,0.493902439,0.556917688,0.658411614,0.344120196,0.06679679,-0.017342033,0.005440489,0.552545539,0.286151961,0.09403536,0.754969045,0.247257913,0.010167371,0.204869565,0.093425606,0.191502095,0.605851504,0.343342901,0.406020067,0.691176471,0.387101936,-0.021103118,-0.016293644,-0.021056206,0.058773424,-0.027417897,-0.027310924,-0.001263025,-0.004539386,-0.010322489,0.120121642,-0.054548135,-0.037867126,-0.027185981,-0.047346988,-0.04795478,0.283067643,0.501869159,0.719154307,-0.037867126,-0.009322561,-0.005696013,-0.009322561,0.306403941,0.427679501,0.31024531,-0.046186101,0.505548705,0.279559443,0.288095934,-0.055846738,-0.040783223,0.590479524,0.700452248,0.116507297,0.227436823,0.674884438,0.595348837,-0.04411955,-0.038439689,0.101853486,0.09605319,0.198637911,0.643201543,0.643201543,0.374776386,0.394533571,0.405273438,0.830845771,0.384542884,0.370464997,0.370614035,0.180837563,-0.0583174
3/21/2000,-0.031089109,0.815154604,0.573558004,0.670378619,0.575063613,-0.012030547,0.008269876,0.76925185,0.167789001,0.506228766,0.301404853,0.331958763,0.562028047,0.426275992,0.69722708,0.290578358,0.05804826,-0.026240582,-0.02869172,0.523686477,0.485241181,0.352967626,0.726644638,0.278424351,0.005684587,0.199765671,0.025914634,0.198156682,0.667400189,0.406675749,0.481999301,0.647430117,0.450190759,-0.020372829,-0.021802911,-0.032276016,0.22617801,-0.019391328,-0.035324342,-0.023603185,-0.034454913,-0.002259568,-0.002659574,-0.046941498,-0.042302492,-0.01738406,9.69E-05,-0.027004958,0.423922603,0.297435897,0.53403345,-0.042302492,-0.013085891,0.023809524,-0.013085891,0.305598042,0.575471698,0.311670161,-0.032774945,0.442605726,0.170466884,0.202163062,-0.042763385,-0.036509565,0.556947162,0.688509601,0.224447514,0.247156153,0.581967213,0.621461766,-0.044109112,-0.039454806,0.367044464,0.341442224,0.486750349,0.541115584,0.541115584,0.482628399,0.403792135,0.338016529,0.874221419,0.510405644,0.547945205,0.566843034,0.148518205,0.07254902
3/29/2000,0.499494098,0.803295572,0.616791604,0.638425617,0.56025759,-0.011359185,-0.003689236,0.669323616,-0.021244078,0.528013582,0.266031746,0.35472044,0.311989546,0.565775401,0.686466942,0.310085837,0.070185504,-0.05279694,-0.04470897,0.531950207,0.407208589,0.781715667,0.759959401,0.44632324,-0.060621585,0.216906642,0.012183693,0.192884936,0.685696746,0.458597113,0.169283799,0.656960874,0.547900969,-0.02531796,-0.019496632,-0.021213249,0.175438596,-0.02580904,-0.032471609,-0.058155808,0.008691163,-0.028714107,0.070748649,-0.05819398,-0.047152402,-0.050617451,-0.049156183,-0.047659523,0.386826347,0.258483452,0.427106227,-0.047152402,-0.038033395,-0.020584674,-0.038033395,0.335820896,0.552238806,0.270435722,-0.031165152,0.533909877,0.330919623,0.402084885,-0.03681625,-0.036280258,0.631158455,0.729203098,0.334289813,0.275664409,0.764347384,0.652173913,-0.049156183,-0.032596963,0.412995246,0.388342697,0.448275862,0.62023968,0.62023968,0.541333333,0.373662855,0.370184255,0.867598684,0.590605973,0.572484366,0.578875171,0.160825255,0.166257166
4/6/2000,0.502135448,0.788021534,0.560509554,0.614902507,0.517212775,0.039664302,0.051813472,0.814572524,0.011167513,0.641887227,0.240217081,0.435973353,0.561771562,0.525423729,0.731246627,0.258457375,0.039361887,-0.080020866,0.011282334,0.542157325,0.322054752,0.485662267,0.38949798,0.340327319,-0.008589221,0.218064516,0.12,0.164586357,0.629734848,0.802099738,0.648587056,0.165880355,0.737997957,-0.038816789,-0.039278815,-0.019394002,0.229364243,-0.067360031,-0.057256801,-0.002918933,-0.019422166,-0.052323838,0.081871345,-0.043796874,-0.043362473,-0.029772959,-0.044568405,-0.044819055,0.379844961,0.526738709,0.635567715,-0.043362473,-0.032258065,-0.017827051,-0.032258065,0.056541161,0.518628912,0.169929522,-0.04806255,0.382901554,0.303482587,0.304849101,-0.039470682,-0.034940803,0.573535273,0.686813187,0.345044746,0.26238915,0.644260028,0.706842654,-0.044681464,-0.042397158,0.324324324,0.056940597,0.492906511,0.578196872,0.578196872,0.606557377,0.433255269,0.47718082,0.754471186,0.543645529,0.519977955,0.387222947,0.106706614,0.025641026
4/14/2000,0.689267462,0.767410863,0.595184349,0.654217373,0.570704744,0.045232533,0.007455827,0.794153471,0.026255333,0.703448276,0.256475047,0.444371297,0.619626168,0.493217054,0.79264214,0.296882984,-0.033745247,-0.038626609,0.186748597,0.581353653,-0.000214731,0.614706623,0.383014942,0.54207685,0.025905548,0.275234418,0.103740296,0.137816979,0.651958577,0.315944468,0.605943152,0.623815968,0.498850575,-0.041543027,-0.042347793,-0.047619048,0.436123348,-0.014903028,-0.014121548,-0.020669873,0.007173341,-0.02787266,0.118773946,-0.041562064,-0.047072989,-0.037820958,-0.043216537,-0.043290535,0.363636364,0.300925926,0.572794118,-0.047072989,-0.044448144,-0.013890297,-0.044448144,0.242100676,0.615001659,0.296703297,-0.028857479,0.726093224,0.340959644,0.415196744,-0.022180944,-0.034608574,0.641239986,0.75509226,0.38961474,0.275808937,0.770026461,0.750488599,-0.043384072,-0.095417258,0.451702959,0.261280168,0.402557856,0.625218914,0.625218914,0.613845665,0.377113645,0.568413392,0.66509303,0.70305225,0.642506143,0.544968401,0.127708096,-0.018452803
4/22/2000,0.567000699,0.779454023,0.558201058,0.638737758,0.144109589,0.067688378,0.445883828,0.830615722,0.032870709,0.710067764,0.257693503,0.583957219,0.711911357,0.556468172,0.817605793,0.345280162,-0.013245033,0.522018349,0.469421488,0.151780822,0.024406171,0.512471072,0.678142829,0.528411024,0.039486204,0.326538932,-0.068200493,0.075573549,0.589948601,0.23032183,0.156919954,0.707285201,0.321646115,-0.067203384,-0.054625341,-0.045317221,0.618768328,-0.015212264,-0.012057786,0.024096386,-0.030964272,-0.039001773,0.221323529,-0.029380227,-0.044815067,-0.043978686,-0.047967984,-0.047463911,0.410206467,0.276166456,0.523489933,-0.044815067,0.164294955,0.19047619,0.164294955,0.303237303,0.649796823,0.271841879,-0.042046251,0.676560122,0.273492286,0.333701352,-0.040418991,-0.084824812,0.564814815,0.752928647,0.335405872,0.295051354,0.748064743,0.793292683,-0.046090167,-0.040433465,0.488468362,0.466197733,0.440514469,0.622503653,0.622503653,0.588003635,0.421571238,0.522568341,0.542193548,0.658103241,0.630347054,0.718699562,0.355917667,0.035202086
4/30/2000,0.873747495,0.775456919,0.590361446,0.593338497,0.619047619,0.546543779,0.564689397,0.624672445,0.134891131,0.675122911,0.288009889,0.696805631,0.69886559,0.544529262,0.805946163,0.635942566,-0.016801075,0.517871987,0.521152952,0.670719,0.073616827,0.598067633,0.588450765,0.571731449,0.422572178,0.242849714,0.164933135,0.098734177,0.477787456,0.401280158,0.731964986,0.661923243,0.71434908,-0.051091883,-0.050348152,-0.045863458,0.731578947,-0.045268809,-0.01836786,0.464579256,-0.045499311,-0.079059181,0.20731233,-0.036676155,-0.056150317,-0.040229885,-0.038068596,-0.040281059,0.540397889,0.253781513,0.559123186,-0.056150317,0.511939429,0.516325401,0.511939429,0.336209221,0.29974026,0.196192815,-0.03959993,0.686868687,0.098071625,0.106591865,-0.047743847,-0.03480663,0.29831616,0.753672316,0.348776509,0.321626617,0.708841463,0.817282514,-0.038068596,-0.068645207,0.467032967,0.435723115,0.519357195,0.680019075,0.680019075,0.609296482,0.447726518,0.499683344,0.563945759,0.338738739,0.439229844,0.596530678,0.407927747,0.069591528
