Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
2/18/2000,-6.61,NA,NA,NA,NA,NA,NA,NA,-8.95,NA,-19.19,0.89,-1.01,-7.59,-3.05,NA,NA,NA,NA,0.49,NA,NA,2.75,-0.33,NA,NA,NA,NA,13.01,NA,2.69,NA,NA,-44.03,-45.27,-42.01,-16.57,-44.49,-29.03,-22.41,NA,NA,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.41,16.05,NA,NA,NA,13.97,13.97,NA,NA,14.05,15.87,NA,NA,NA,9.43,NA,NA,11.87,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/26/2000,-2.45,NA,20.53,21.47,NA,-18.77,-18.65,0.93,-8.17,0.41,-15.99,0.35,1.09,-2.63,-0.99,-10.37,-15.49,-10.83,-11.43,1.97,15.93,NA,4.99,0.59,-25.43,-3.81,-2.23,-3.67,13.73,NA,1.67,8.89,NA,-43.39,-44.31,-42.29,-12.27,-42.53,-35.99,-17.27,-14.51,-17.47,3.09,NA,-31.71,-33.67,-32.41,-32.35,-4.55,7.09,7.83,-31.71,-18.01,-16.11,-18.01,-1.69,15.75,NA,-28.77,-7.77,10.19,10.19,-21.87,-35.41,15.13,14.87,-3.07,0.83,8.17,8.03,-32.41,-13.91,1.29,-1.03,-5.55,7.93,7.93,5.23,1.43,7.75,6.93,7.75,7.71,6.87,-16.43,5.35
3/5/2000,-2.51,NA,20.41,20.87,0.41,-24.33,-24.79,1.07,-4.85,1.15,-9.59,-1.57,-0.31,-2.91,-0.93,-13.23,-18.09,-15.41,-13.97,0.99,16.65,NA,4.13,3.89,-12.53,-1.61,-2.37,-3.99,14.77,NA,2.25,11.85,23.33,-31.21,-32.07,-27.95,-14.11,-39.07,-18.03,-16.59,-12.81,-12.65,5.97,NA,-25.67,-27.57,-25.91,-25.91,-2.31,6.89,6.77,-25.67,-14.21,-12.75,-14.21,5.37,17.11,NA,-25.25,-1.31,7.85,7.85,-21.19,-28.55,16.49,14.89,1.91,5.65,6.81,8.09,-25.91,-8.29,8.99,2.43,0.99,6.81,6.81,6.85,5.09,5.19,5.71,5.19,5.19,6.21,-14.01,12.87
3/13/2000,NA,NA,NA,NA,0.43,-24.13,-25.19,3.31,-3.69,NA,-7.13,-0.03,-0.71,-12.53,-4.57,-7.21,-8.87,-11.59,-8.39,2.89,NA,NA,1.35,3.27,-10.53,0.03,-0.75,-4.37,10.83,NA,2.11,8.43,21.91,-28.67,-28.65,-30.43,-6.97,-28.57,-21.87,-7.01,-9.43,-11.81,5.27,NA,-25.27,-25.45,-25.67,-25.67,-7.83,8.99,9.45,-25.27,-10.41,-10.03,-10.41,-4.85,16.93,10.87,-29.41,-8.77,2.21,2.21,-25.23,-36.41,14.73,13.43,-17.11,NA,10.07,5.49,-25.67,-11.75,-3.37,-1.23,-14.89,9.83,9.83,9.83,-0.17,8.95,8.99,8.95,8.87,9.37,-9.47,0.79
3/21/2000,-1.63,24.95,20.59,19.83,0.09,-10.27,-10.73,-1.39,-3.91,2.69,-6.43,0.21,2.03,-0.71,-1.15,-8.33,-10.33,-10.29,-10.47,1.19,18.01,NA,6.17,3.27,-12.87,0.51,0.53,-2.15,14.05,NA,3.11,7.37,NA,-34.29,-34.21,-34.09,-7.77,-30.73,-13.29,-10.07,-11.53,-13.05,2.87,NA,-34.21,-32.07,-33.77,-35.15,-0.91,8.07,8.11,-34.21,-15.05,-12.27,-15.05,1.67,16.31,9.07,-34.37,-0.55,12.69,12.69,-33.47,-34.33,15.31,14.77,0.17,6.01,8.97,7.51,-33.77,-23.15,7.97,1.49,0.75,8.73,8.73,7.59,4.27,7.75,7.79,7.75,7.75,8.13,-10.71,8.33
3/29/2000,-5.31,21.41,19.35,20.11,3.75,-5.91,-5.83,2.23,-5.79,2.01,-5.65,2.45,3.43,-2.35,-0.77,-2.19,-4.23,-2.63,-2.91,5.15,18.31,NA,9.19,6.23,-4.45,4.25,2.29,0.73,15.45,NA,2.95,9.89,19.63,-27.11,-27.33,-30.93,-5.35,-24.09,-24.95,-7.31,-17.31,-19.65,1.51,NA,-28.67,-27.67,-27.93,-28.87,-1.49,8.71,9.55,-28.67,-10.59,-9.55,-10.59,-1.07,14.39,10.81,-26.29,-0.41,8.11,8.11,-24.95,-29.13,17.89,13.87,-2.97,4.37,10.57,4.91,-27.93,-20.35,2.95,0.05,-4.41,10.27,10.27,11.21,4.45,9.51,9.33,9.51,9.39,9.97,-8.91,6.03
4/6/2000,-1.35,25.09,15.65,17.87,3.47,-18.77,-18.55,1.17,-4.77,1.63,-10.17,0.29,2.09,0.01,-1.77,-1.95,-9.85,-3.45,-3.45,1.37,NA,NA,8.89,7.01,-5.27,5.03,3.55,-0.95,12.47,NA,3.67,9.03,22.71,-15.05,-15.43,-26.73,-8.23,-24.67,-8.29,-5.77,-9.55,-11.53,5.51,NA,-24.99,-24.97,-26.43,-26.59,-3.55,9.55,9.57,-24.99,-9.55,-9.15,-9.55,-1.13,14.63,8.85,-22.47,-1.71,10.31,10.31,-20.03,-24.75,11.53,12.79,-9.71,3.95,10.59,12.07,-26.43,-14.51,1.21,1.23,-6.75,10.53,10.53,9.97,5.15,10.35,10.07,10.35,9.85,10.37,-9.09,4.47
4/14/2000,4.83,20.07,16.77,18.11,4.29,-7.33,-7.21,4.99,-1.85,7.31,-5.95,5.71,5.43,2.31,1.89,1.39,-10.59,0.79,-1.07,7.51,NA,NA,11.11,13.61,-0.15,5.03,4.47,3.17,16.03,NA,4.51,NA,22.11,-8.25,-8.95,-18.39,5.97,-18.65,-10.17,-3.29,-8.49,-9.13,1.37,NA,-16.19,-20.31,-16.17,-16.13,-0.67,7.23,7.91,-16.19,-4.25,-4.01,-4.25,9.67,18.63,NA,-21.45,-1.45,13.55,13.55,-22.19,-20.59,16.39,17.15,-1.47,3.17,10.27,15.19,-16.17,-7.71,9.41,6.13,-0.65,10.49,10.49,7.35,6.93,11.05,10.23,11.05,10.11,8.73,-4.03,8.91
4/22/2000,7.65,19.53,15.41,18.09,1.57,-2.69,-1.31,6.99,NA,7.79,NA,15.91,14.49,3.69,12.99,2.17,-6.63,2.65,2.53,5.59,NA,NA,6.05,11.87,1.85,8.33,5.99,4.01,13.93,NA,9.87,4.23,23.73,-15.85,-16.67,-22.77,10.71,-15.03,-9.63,0.29,-8.37,-8.07,10.11,NA,-17.21,-15.63,-18.69,-20.11,5.47,9.31,9.79,-17.21,0.55,0.33,0.55,3.45,19.49,9.59,-18.27,-0.15,11.69,11.69,-15.51,-16.31,15.35,16.19,0.51,4.79,10.53,10.25,-18.69,-14.27,4.03,4.45,2.09,10.25,10.25,8.57,7.41,9.55,9.45,9.55,9.55,9.73,-2.01,10.09
4/30/2000,7.09,23.07,15.75,17.21,4.21,-0.41,0.03,9.51,2.57,10.85,-8.31,11.05,9.11,6.39,5.39,1.41,-3.81,0.45,-0.13,11.91,18.15,NA,11.69,NA,6.11,12.47,10.37,8.31,12.89,NA,10.69,10.55,22.77,-12.03,-12.07,-22.95,-0.45,-15.79,-11.51,-0.75,-6.69,-7.01,9.29,NA,-19.05,-15.69,-15.41,-14.15,8.91,12.35,12.49,-19.05,-0.11,-0.89,-0.11,8.97,16.75,NA,-15.17,0.35,17.13,17.13,-16.75,-16.81,20.25,18.87,7.63,10.51,12.53,14.25,-15.41,-9.21,14.45,9.97,8.65,12.59,12.59,11.91,10.45,11.81,11.79,11.81,11.65,12.21,0.01,14.39
