Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
2/18/2000,2.610932476,0.95188881,NA,NA,1.076940133,1.463013699,1.397742818,1.114114481,1.568254695,1.04985219,0.8974598,1.091906722,1.005190311,1.072361809,1.059513591,1.183394336,NA,1.238339313,NA,NA,1.089924433,NA,1.101903695,0.990159902,1.246743411,0.8066577,0.970178926,1.186633039,0.801775858,1.311429109,NA,0.977386099,1.034267913,1.489053948,NA,1.489431968,NA,1.561583578,NA,1.290605096,1.629705882,NA,0.922051965,1.514545031,1.550810687,1.575035063,1.734987661,NA,1.112009106,0.940552017,1.029421488,1.550810687,1.528494301,1.97231063,1.528494301,0.891666667,0.897008838,1.028398213,NA,1.640194489,NA,0.975930972,NA,1.407225853,NA,NA,1.094714651,0.975175838,1.022737712,0.805647841,NA,1.753252385,1.088005579,1.008488964,NA,0.997674959,0.997674959,NA,0.716945996,0.991913747,1.012452626,0.973347548,0.973347548,0.955846936,NA,1.036108866
2/26/2000,1.359134263,0.990490798,0.993522267,1.116675271,NA,1.43547419,1.434349532,1.020090978,2.410967344,0.924087591,NA,0.899526066,0.974937343,0.773450357,0.941813261,1.519421173,1.214121699,1.551020408,1.523097463,0.815666407,1.279052554,1.13350047,NA,0.793246445,4.169797145,0.815570358,0.882191781,1.098445596,0.708058124,1.103587263,0.817411765,0.800422705,1.090836228,1.389882317,1.47086679,1.401595745,1.360204734,NA,1.941938699,1.973755307,NA,1.674770825,0.966401415,1.537062301,1.962866604,1.638897037,1.685360218,1.685360218,NA,0.833073323,1.197628458,1.962866604,1.617656399,1.634457612,1.617656399,0.771911299,0.769459593,1.136363636,NA,1.133517241,0.8876181,0.778539931,NA,1.684916201,0.774038462,0.866863905,0.840291262,0.686096257,1.040303738,0.778345725,1.568762829,1.948001926,0.838393732,NA,0.934210526,NA,NA,0.752624948,0.808156607,NA,NA,NA,NA,0.869507909,NA,0.748155954
3/5/2000,1.276854599,1.076940484,0.926237386,1.054118448,0.827887713,1.402569074,1.402569074,1.058781103,2.687908497,0.883865939,0.625936599,0.741312741,0.740794224,0.764675325,1.193884334,1.816687737,1.954920853,2.330565806,1.990426189,0.761586803,1.258212878,1.076801016,1.104220779,0.867555556,NA,NA,NA,0.752945957,0.798212351,1.072394366,0.984257133,0.86998876,NA,1.276996858,1.276996858,1.61462613,1.459979737,1.489727786,1.751223491,1.526431115,1.347727701,1.733499822,1.004186603,2.116896376,1.979336857,1.64639444,1.94745296,NA,NA,0.821428571,0.863987635,1.979336857,2.551174831,2.6975,2.551174831,0.771945979,0.824884793,1.201540436,1.851388541,1.412140575,0.766863537,0.793650794,2.247098351,1.675110575,0.886100386,0.890666667,0.7436853,0.743737958,1.083138173,0.74050897,1.961023985,NA,0.840890688,0.699069767,0.938442969,1.003177125,1.003177125,0.716178242,0.730270907,NA,1.39427663,NA,NA,0.839249286,1.581180812,1.496254682
3/13/2000,1.733533752,1.066789216,1.010147992,0.900715308,0.869589657,1.646826602,1.768253968,1.012121212,2.097599165,0.993689042,NA,0.756479807,0.864197531,0.819732596,1.010405827,1.601928375,2.177512174,1.906395736,1.644909432,NA,0.769428152,NA,1.04057187,NA,1.297308156,0.777030058,0.971311475,NA,0.876204819,1.049327354,0.86147541,0.791284404,1.109859155,1.752307362,1.766180883,1.665703554,1.131543013,1.226630187,2.022324678,2.164214848,1.583687341,1.617640214,1.095143707,1.57955665,1.317093729,1.368394395,1.750502569,1.790171429,0.830915179,0.888336097,1.070754717,1.317093729,2.453146375,2.39412897,2.453146375,0.794646424,0.838972687,NA,2.102773246,1.319286872,0.797013721,0.807776963,2.314918759,1.912450912,0.986539297,1.059681698,1.537422037,0.811455847,1.054827754,0.820901476,1.362345565,2.578537576,0.964760433,1.325350667,1.446575342,1.018326693,1.018326693,0.69642048,0.804318026,0.768286172,1.359127682,0.736340852,0.735600658,0.713877784,1.787704131,0.984015984
3/21/2000,2.789623717,1.085772358,NA,1.012340918,0.869382022,3.066233766,1.640991471,1.092016238,1.704340704,0.91503268,NA,0.907813378,NA,0.831404959,0.977553957,1.497294372,1.993791088,1.637753987,3.105184447,0.807025547,1.487382841,1.093386628,1.100727691,0.872505092,1.577579618,0.803767661,NA,NA,0.855483871,1.089709763,0.839271576,0.764755128,1.38054883,1.592606493,1.589455973,1.539483003,1.447466007,1.954374665,1.905212177,2.831630568,1.45105178,NA,0.986842105,1.648066784,1.754423213,1.424247303,1.373219752,1.296797264,0.681684211,0.744555621,0.869105333,1.754423213,NA,2.04085844,NA,0.801051051,0.770769231,1.007514761,1.521191294,1.554926387,1.44375,1.187345933,1.565649718,1.602368527,0.865912059,0.93612707,0.820074006,0.723889556,0.941463415,NA,1.720104439,2.335465116,0.909864603,0.769307424,0.756743966,0.942997889,0.942997889,0.780206677,0.754624387,0.718278616,1.496310555,0.869265124,0.927750411,0.898462783,1.358573718,0.967285588
3/29/2000,0.843323217,NA,0.976811594,0.996348884,0.87063655,2.248552339,2.336386768,1.169432036,1.501524033,1.046815935,0.648455285,0.739369685,0.900044823,0.742017233,0.967981026,1.741797432,2.202282566,3.852222222,3.551219512,0.760609806,1.189241737,NA,1.350993377,1.029675252,4.868141593,0.772861357,NA,0.788680632,0.860815047,1.025275899,1.036672326,NA,0.972497746,1.645264848,1.570698467,1.413110224,NA,1.921149789,1.889235569,4.609589041,NA,1.771109272,0.940777577,1.750155376,1.75503985,NA,1.624109015,1.609150595,0.718362283,0.732682927,0.776404942,1.75503985,2.834624146,NA,2.834624146,0.83062645,0.871751886,1.060733614,1.824994441,1.122959014,0.887065637,0.88904627,NA,NA,0.993109039,1.059381696,0.755176614,0.787138264,1.243378669,0.787610619,1.624109015,1.700480648,0.938131313,0.849591749,NA,0.969407266,0.969407266,NA,0.752931662,0.783524904,1.504471679,0.964147627,1.037509377,0.863789869,1.553559548,0.991643454
4/6/2000,NA,1.02547279,0.890909091,0.948854337,0.851489758,1.581458967,1.740865026,1.202391629,2.407458564,1.060344828,0.704184236,0.718518519,0.887652358,0.748487903,0.964232041,1.556919643,1.63502455,3.850655022,3.096040438,0.75298988,1.287597364,1.070866142,1.166101695,1.034326425,3.098657718,0.836879433,0.986486486,0.796664019,0.883470226,1.052744557,0.9746699,NA,NA,2.072346862,2.050474763,1.781828379,1.473063973,1.381370573,3.032065964,2.031081081,1.986687549,2.289387903,0.991577335,2.204011613,2.129930394,NA,2.053646477,2.09093199,0.637785016,0.985336195,1.086119186,2.129930394,3.187119675,3.032311062,3.187119675,1.052644964,0.782041443,1.028217481,2.187896406,1.047077285,0.855880092,0.778632133,2.019184652,1.911899314,0.855656697,1.005568293,0.674534574,0.806129247,1.050547897,0.919535928,2.045174031,2.389762654,0.954276037,1.087741527,0.792584009,0.982250215,0.982250215,0.869822485,0.82665466,NA,1.356898907,0.935369775,NA,NA,2.282319392,1.105105105
4/14/2000,1.010187449,0.986240238,0.923747277,1.13080895,0.825266215,2.366346154,2.107692308,1.144966965,2.735783027,1.147195427,0.680931188,0.821107784,NA,0.834325934,1.126681614,1.556100552,1.763226366,3.848797251,1.295043732,0.87283523,1.083294556,1.131662549,1.145722344,1.312432432,2.647928994,0.814084507,0.877665544,0.826923077,0.876074499,1.054974705,0.899095841,0.773943889,1.067261905,2.449390043,2.429784455,2.27744402,1.146989836,1.87804878,1.756365859,3.434319527,1.474607817,1.811815635,0.943152455,1.886253843,2.160124773,2.155739829,2.119245283,2.125189298,0.784482759,0.791549296,1.005169173,2.160124773,3.497867154,2.725896861,3.497867154,0.705620203,0.910213244,0.998187311,1.570177109,1.057714959,0.808429119,NA,1.543197103,1.398631841,NA,1.0471833,0.740978921,0.555207868,1.255631399,0.98895841,2.101703407,4.313529412,0.773579292,0.628441966,0.999565972,1.006195787,1.006195787,NA,NA,0.965934558,1.200160128,1.115554049,1.092320261,0.885236769,1.991943605,NA
4/22/2000,1.08873057,0.961195188,0.866495035,0.968281183,0.936742934,1.888554217,0.991972477,1.269750169,4.086705202,1.161788885,0.747874307,0.825989961,0.986432562,0.767594937,1.096069869,1.025789069,2.504741379,1.05,0.934805468,0.956977009,NA,1.04069356,1.209242983,1.377069283,1.010638298,1.050355068,1.431818182,NA,0.820512821,1.01536,1.133482476,0.861807388,1.057536852,3.182495345,2.614449918,2.359513274,NA,NA,1.514649459,2.694274029,2.539669754,2.675398633,0.875131718,1.504404188,2.117454728,NA,2.107035928,2.088423645,0.736670737,0.764350453,0.926152591,2.117454728,1.5,1.290603248,1.5,0.820493642,0.990243902,0.934736842,1.923094959,0.934662707,NA,0.776599164,2.086138614,1.288411031,0.987859712,1.084321476,NA,0.788964733,1.247823175,1.031567871,2.09148884,1.794117647,NA,0.935194417,0.788732394,1.036725801,1.036725801,NA,0.914354231,0.898686679,1.080650995,1.122196945,1.066525871,1.131794716,1.180731889,1.074424899
4/30/2000,1.429663609,0.970873786,0.933962264,0.966635338,NA,0.894933333,0.888594164,NA,1.366368286,1.246779859,0.764770642,0.964307692,NA,0.792083515,1.286859433,NA,3.412908243,0.996181124,0.890582471,0.894052045,1.297237569,1.101687389,1.090855283,1.098814229,0.829591837,1.537966538,0.98989899,1.479965899,0.804791271,0.984434452,1.031272466,0.780794165,1.090267983,2.95508982,2.882926829,1.940291807,NA,1.568720379,2.321301071,NA,NA,3.805015674,0.991060026,1.828553616,1.6560184,NA,NA,1.420222302,0.772079772,0.744510978,1.028513238,1.6560184,0.7472654,NA,0.7472654,0.87469114,0.872384937,0.944255938,1.821349801,0.990677966,1.126625212,0.952515091,2.050797546,1.707054915,1.029493822,1.214777708,0.694556452,0.820895522,1.233675715,NA,NA,2.788037775,0.943092622,0.931435445,0.763582966,1.067899363,1.067899363,0.96207285,0.844040248,0.935968379,1.121662853,0.737103175,0.829403606,0.914611704,1.102120974,1.136655949
