ID,Site ID,Latitude,Longitude
1,IT-CAS,45.07004722,8.717522222
2,JP-MSE.1,36.054,140.0269
3,JP-MSE.2,36.052076,140.02856
4,JP-MSE.3,36.052628,140.018802
5,JP-MSE.4,36.048191,140.017546
6,JP-MSE.5,36.047755,140.02224
7,KR-CRK,38.2013,127.2506
8,CH-JRS,31.806831,119.217264
9,PH-RIF,14.14119,121.26526
10,US-HRA,34.585207,-91.75167
11,US-HRC,34.588837,-91.751655
12,US-TWT,38.109,-121.653
13,CH-CMC,31.81043,121.2501
14,CH-HNY,28.6725,112.4486
15,TARI1.1,24.0304,120.6879
16,TARI1.2,24.030988,120.683896
17,TARI1.3,24.027021,120.6795
18,TARI1.4,24.027369,120.683924
19,TARI3.new,23.580732,120.40563
20,TARI-1,24.0304,120.6879
21,TARI-2,24.03073,120.68733
22,TARI-3,23.5817,120.4047
23,TARI-4,23.5821,120.4036
24,CH-NJL,31.59961,119.18359
25,US-OF1,35.737066,-90.0492
26,US-OF2,35.7406,-90.0489
27,USOF4,35.7344,-90.0381
28,USOF5,35.7297,-90.0406
29,USOF6,35.7333,-90.0403
30,KR-HPK,34.477223,126.481112
31,US-BDA.1,35.8089,-90.0327
32,US-BDA.2,35.806586,-90.030076
33,US-BDC.1,35.8089,-90.0284
34,US-BDC.2,35.807432,-90.027335
35,IN-IFS,28.643839,77.152712
36,BA-CDS,-30.27710833,-53.14792222
37,CH-LHP,40.93139,121.961
38,CH-SJP,47.15194,131.9386
39,IN-CRRI,20.451667,85.94027
40,MYM,24.72527,90.42425
41,CH-YJ.1,33.206662,120.277881
42,CH-YJ.2,33.206294,120.280989
43,CH-YJ.3,33.210088,120.285917
44,CH-YJ.4,33.210517,120.281833
45,CH-PJ,41.45,122.68
46,KR-GRK,35.745328,126.852522
